movie_id,rank,title,등급,시간,관객,장르,국가,감독,출연,개봉일_최초,재개봉일
62585,1,오디세이,15세이상관람가,172분,"2,130,502명","액션, 모험, 드라마",미국,크리스토퍼 놀란,"맷 데이먼, 톰 홀랜드, 앤 해서웨이",2026-08-05,
63091,2,스파이더맨: 브랜드 뉴 데이,12세이상관람가,144분,"6,085,168명","판타지, 어드벤처, 액션",미국,데스틴 크리튼,"톰 홀랜드, 젠데이아 콜먼, 세이디 싱크",2026-07-29,
63075,3,사랑의 하츄핑: 고래보석의 전설,전체 관람가,105분,"452,974명",애니메이션,한국,김수훈,"이지현, 조경이",2026-08-05,
62480,4,호프,15세이상관람가,156분,"4,408,041명","액션, 스릴러, SF",한국,나홍진,"황정민, 조인성, 정호연",2026-07-15,
63032,5,미니언즈 & 몬스터즈,전체 관람가,89분,"765,597명",애니메이션,미국,피에르 코팽,"트레이 파커, 앨리슨 제니",2026-07-15,
63282,6,어떻게 해야 했을까?,12세이상관람가,101분,"52,030명",다큐멘터리,일본,후지노 토모아키,,2026-07-29,
63108,7,다윗,전체 관람가,109분,"290,330명",애니메이션,미국,"필 커닝햄, 브렌트 도스","박보검, 장광, 차지연",2026-07-10,
62799,8,토이 스토리 5,전체 관람가,101분,"2,940,102명",애니메이션,미국,"앤드류 스탠튼, 맥케나 해리스","톰 행크스, 팀 알렌, 조안 쿠삭",2026-06-17,
63240,10,오케이 마담2,15세이상관람가,108분,"11,827명",코미디,한국,이철하,"엄정화, 박성웅, 이상윤",2026-08-12,
62818,11,모아나,전체 관람가,115분,"1,021,313명","어드벤처, 액션",미국,토마스 케일,"드웨인 존슨, 캐서린 라가이아, 프랭키 애덤스",2026-07-08,
63117,12,퍼피 구조대: 더 다이노 무비,전체 관람가,88분,"3,001명",애니메이션,미국,캘런 브런커,"문남숙, 정선혜, 박지윤",2026-08-13,
63001,14,마티 슈프림,15세이상관람가,149분,"131,849명","스포츠, 드라마",미국,조쉬 사프디,"티모시 샬라메, 기네스 팰트로, 오데사 아지온",2026-07-01,
2417,15,경멸,15세이상관람가,105분,"9,576명",드라마,"프랑스,이탈리아",장 뤽 고다르,"미셸 피콜리, 브리지트 바르도, 잭 팰런스",,
63186,16,눈동자,15세이상관람가,105분,"1,541,466명",스릴러,한국,염지호,"신민아, 김남희, 이승룡",2026-06-24,
62309,17,시크릿 에이전트,15세이상관람가,160분,"19,534명","범죄, 드라마",브라질,클레베르 멘돈사 필류,바그너 모라,2026-07-08,
926,18,애정만세,15세이상관람가,117분,"19,975명",드라마,대만,차이밍량,"양귀매, 이강생, 진소영",1995-06-17,2026-08-12
63225,20,파리의 사생활,15세이상관람가,102분,"8,858명",드라마,영국,레베카 즐로토프스키,"조디 포스터, 비르지니 에피라, 마티유 아말릭",2026-07-15,
62907,21,지느러미,15세이상관람가,83분,"8,006명",드라마,한국,박세영,"연예지, 김푸름, 고우",2026-07-22,
63296,22,청년 조용기,전체 관람가,99분,862명,다큐멘터리,한국,권혁만,"유열, 양동근",2026-09-11,
2573,23,큐어,15세이상관람가,111분,"35,513명","스릴러, 범죄",일본,구로사와 기요시,"야쿠쇼 코지, 하기와라 마사토, 우지키 츠요시",2022-07-06,
62893,24,왕과 사는 남자,12세이상관람가,116분,"16,325,796명","시대극, 드라마",한국,장항준,"유해진, 박지훈, 유지태",2026-02-04,
62833,25,산양들,12세이상관람가,107분,"5,694명",드라마,한국,유재욱,"박혜진, 이승연, 박효은",2026-07-29,
63248,26,드림 애니멀즈: 더무비,전체 관람가,90분,"44,157명",애니메이션,일본,타케키요 히토시,,2026-07-24,
62280,27,빈집의 연인들,15세이상관람가,93분,539명,"코미디, 멜로·로맨스, 드라마",한국,김태휘,"정애화, 기주봉",2026-08-12,
13600,28,뱀의 길,,85분,"4,259명","액션, 범죄, 미스터리",일본,구로사와 기요시,"아이카와 쇼, 카가와 테루유키",2026-07-22,
895,29,피아노,청소년 관람불가,121분,"482,946명","멜로·로맨스, 드라마","호주,뉴질랜드,프랑스",제인 캠피온,"홀리 헌터, 하비 케이틀, 안나 파킨",2014-12-04,2026-07-01
63331,30,불멸의 존재들. 이집트 박물관의 경이들,전체 관람가,86분,"1,297명",다큐멘터리,이탈리아,,제레미 아이언스,2026-07-29,
62839,31,하나 코리아,,105분,"16,568명",드라마,"한국,덴마크",프레드릭 쇨베르,"김민하, 김주령, 안서현",2026-07-08,
62390,32,길 위의 뭉치,전체 관람가,93분,383명,애니메이션,한국,"오성윤, 이춘백","도경수, 박소담, 박철민",2026-08-19,
