rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20250654,오디세이,2026-08-05,2828024070,56.2,-2593103190,-47.8,23326805000,257618,-239936,-48.2,2132431,1647,4991,20260810
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,1773545300,35.2,-3008945170,-62.9,63655044040,174615,-289302,-62.4,6090999,1590,5518,20260810
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,174337210,3.5,-997676980,-85.1,4276837970,19410,-104155,-84.3,453216,726,1509,20260810
4,4,0,OLD,20233219,호프,2026-07-15,146372870,2.9,-190028150,-56.5,47237464560,14523,-17700,-54.9,4408397,562,949,20260810
5,5,3,OLD,20264148,어떻게 해야 했을까?,2026-07-29,22904150,0.5,-17519050,-43.3,523077650,2317,-1661,-41.8,52045,70,132,20260810
6,6,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,19237500,0.4,-25821180,-57.3,7612107820,2193,-2821,-56.3,765483,208,217,20260810
7,7,3,OLD,20259781,토이 스토리 5,2026-06-17,10804150,0.2,-7973700,-42.5,30219382390,1112,-795,-41.7,2940488,109,112,20260810
8,8,-3,OLD,20262902,다윗,2026-07-10,9168150,0.2,-69105900,-88.3,2816467330,958,-7384,-88.5,290308,65,69,20260810
9,9,3,OLD,20259946,모아나,2026-07-08,7290500,0.1,748300,11.4,10828540930,826,149,22,1021759,67,70,20260810
10,10,5,OLD,20263530,마티 슈프림,2026-07-01,2896500,0.1,-2994350,-50.8,1426494680,290,-107,-27,131844,18,18,20260810
1,1,0,OLD,20250654,오디세이,2026-08-05,5421127260,44.9,-327520430,-5.7,20498780930,497554,-28099,-5.3,1874813,1798,5118,20260809
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4782490470,39.6,-559468450,-10.5,61881498740,463917,-50210,-9.8,5916384,1763,6052,20260809
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1172014190,9.7,-10367950,-0.9,4102500760,123565,-621,-0.5,433806,941,2164,20260809
4,4,0,OLD,20233219,호프,2026-07-15,336401020,2.8,-63508780,-15.9,47091091690,32223,-5623,-14.9,4393874,548,832,20260809
5,5,0,OLD,20262902,다윗,2026-07-10,78274050,0.6,24064160,44.4,2807299180,8342,2495,42.7,289350,145,154,20260809
6,6,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45058680,0.4,-834520,-1.8,7592870320,5014,-63,-1.2,763290,227,243,20260809
7,7,1,OLD,20264635,명탐정 코난: 하이웨이의 타천사,2026-08-12,57231270,0.5,1479820,2.7,112982720,4473,118,2.7,8828,37,38,20260809
8,8,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,40423200,0.3,-6011950,-12.9,500173500,3978,-569,-12.5,49728,79,137,20260809
9,9,1,OLD,20255484,오케이 마담2,2026-08-12,25903900,0.2,7280200,39.1,115943600,2382,855,56,11783,12,14,20260809
10,10,-1,OLD,20259781,토이 스토리 5,2026-06-17,18777850,0.2,-1450790,-7.2,30208578240,1907,-160,-7.7,2939376,99,102,20260809
1,1,0,OLD,20250654,오디세이,2026-08-05,5748647690,44.1,2257761820,64.7,15077653670,525653,215341,69.4,1377259,1745,5187,20260808
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5341958920,41.0,2346782380,78.4,57099008270,514127,227416,79.3,5452467,1802,6440,20260808
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,1182382140,9.1,798216690,207.8,2930486570,124186,82474,197.7,310241,958,2216,20260808
4,4,0,OLD,20233219,호프,2026-07-15,399909800,3.1,76640340,23.7,46754690670,37846,7015,22.8,4361651,553,868,20260808
5,5,2,OLD,20262902,다윗,2026-07-10,54209890,0.4,28812940,113.5,2729025130,5847,3176,118.9,281008,125,134,20260808
6,6,-1,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45893200,0.4,5803450,14.5,7547811640,5077,552,12.2,758276,227,240,20260808
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,46435150,0.4,10185150,28.1,459750300,4547,1042,29.7,45750,76,140,20260808
8,8,0,NEW,20264635,명탐정 코난: 하이웨이의 타천사,2026-08-12,55751450,0.4,55751450,100,55751450,4355,4355,100,4355,36,37,20260808
9,9,-1,OLD,20259781,토이 스토리 5,2026-06-17,20228640,0.2,-3024250,-13,30189800390,2067,-348,-14.4,2937469,109,112,20260808
10,10,0,NEW,20255484,오케이 마담2,2026-08-12,18623700,0.1,18623700,100,90039700,1527,1527,100,9401,12,16,20260808
1,1,0,OLD,20250654,오디세이,2026-08-05,3490885870,47.2,818712000,30.6,9329005980,310312,64092,26,851606,1633,5013,20260807
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2995176540,40.5,627306430,26.5,51757049350,286711,48647,20.4,4938340,1751,6084,20260807
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,384165450,5.2,-2181930,-0.6,1748104430,41712,-2056,-4.7,186055,822,1798,20260807
4,4,0,OLD,20233219,호프,2026-07-15,323269460,4.4,61338910,23.4,46354780870,30831,3631,13.3,4323805,658,1135,20260807
5,5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,40089750,0.5,1401550,3.6,7501918440,4525,-121,-2.6,753199,260,281,20260807
6,6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,36250000,0.5,2766950,8.3,413315150,3505,85,2.5,41203,81,145,20260807
7,7,2,OLD,20262902,다윗,2026-07-10,25396950,0.3,10659450,72.3,2674815240,2671,1064,66.2,275161,75,79,20260807
8,8,0,OLD,20259781,토이 스토리 5,2026-06-17,23252890,0.3,-875310,-3.6,30169571750,2415,-250,-9.4,2935402,141,149,20260807
9,9,1,OLD,20259946,모아나,2026-07-08,15308450,0.2,1500900,10.9,10804570630,1570,34,2.2,1019228,91,97,20260807
10,10,5,OLD,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,16091000,0.2,4986000,44.9,195756000,454,140,44.6,5528,2,16,20260807
1,1,0,OLD,20250654,오디세이,2026-08-05,2672173870,45.2,-464381370,-14.8,5838120110,246220,-46487,-15.9,541294,1660,4912,20260806
2,2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2367870110,40.1,-357457620,-13.1,48761872810,238064,-37109,-13.5,4651629,1694,5675,20260806
3,3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,386347380,6.5,-273238100,-41.4,1363938980,43768,-29397,-40.2,144343,801,1698,20260806
4,4,0,OLD,20233219,호프,2026-07-15,261930550,4.4,-29021620,-10,46031511410,27200,-2868,-9.5,4292974,688,1163,20260806
5,5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,38688200,0.7,-7229050,-15.7,7461828690,4646,-651,-12.3,748674,284,313,20260806
6,6,0,NEW,20255484,오케이 마담2,2026-08-12,40203000,0.7,40203000,100,71416000,4467,4467,100,7874,25,25,20260806
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,33483050,0.6,-5541720,-14.2,377065150,3420,-712,-17.2,37698,78,143,20260806
8,8,-1,OLD,20259781,토이 스토리 5,2026-06-17,24128200,0.4,-1860550,-7.2,30146318860,2665,-103,-3.7,2932987,148,154,20260806
9,9,0,OLD,20262902,다윗,2026-07-10,14737500,0.2,2016900,15.9,2649418290,1607,217,15.6,272490,77,81,20260806
10,10,-2,OLD,20259946,모아나,2026-07-08,13807550,0.2,-6151710,-30.8,10789262180,1536,-789,-33.9,1017658,106,113,20260806
1,1,8,OLD,20250654,오디세이,2026-08-05,3136555240,44.7,3123874240,24634.3,3165946240,292707,291642,27384.2,295074,1682,5036,20260805
2,2,-1,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2725327730,38.9,-905909540,-24.9,46394002700,275173,-73114,-21,4413565,1666,5657,20260805
3,3,7,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,659585480,9.4,648618680,5914.4,977591600,73165,72249,7887.4,100575,824,1751,20260805
4,4,-2,OLD,20233219,호프,2026-07-15,290952170,4.1,-291086970,-50,45769580860,30068,-31166,-50.9,4265774,690,1164,20260805
5,5,-2,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45917250,0.7,-64500900,-58.4,7423140490,5297,-7040,-57.1,744028,302,340,20260805
6,6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39024770,0.6,9517920,32.3,343582100,4132,1141,38.1,34278,74,140,20260805
7,7,-3,OLD,20259781,토이 스토리 5,2026-06-17,25988750,0.4,-47386990,-64.6,30122190660,2768,-5122,-64.9,2930322,150,162,20260805
8,8,-3,OLD,20259946,모아나,2026-07-08,19959260,0.3,-43592240,-68.6,10775454630,2325,-4539,-66.1,1016122,119,127,20260805
9,9,-3,OLD,20262902,다윗,2026-07-10,12720600,0.2,-15860600,-55.5,2634680790,1390,-1669,-54.6,270883,70,74,20260805
10,10,0,NEW,20262945,퍼피 구조대: 더 다이노 무비,2026-08-13,6714000,0.1,6714000,100,6714000,746,746,100,746,3,3,20260805
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,3631237270,78.5,-543224880,-13,43668674970,348287,-53493,-13.3,4138392,2214,8852,20260804
2,2,0,OLD,20233219,호프,2026-07-15,582039140,12.6,-36232160,-5.9,45478628690,61234,-2693,-4.2,4235706,919,2690,20260804
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,110418150,2.4,-2623650,-2.3,7377223240,12337,-117,-0.9,738731,668,1029,20260804
4,4,0,OLD,20259781,토이 스토리 5,2026-06-17,73375740,1.6,2148350,3,30096201910,7890,436,5.8,2927554,385,488,20260804
5,5,0,OLD,20259946,모아나,2026-07-08,63551500,1.4,-1616840,-2.5,10755495370,6864,-122,-1.7,1013797,444,603,20260804
6,6,1,OLD,20262902,다윗,2026-07-10,28581200,0.6,-1028030,-3.5,2621960190,3059,-26,-0.8,269493,178,204,20260804
7,7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,29506850,0.6,-2097810,-6.6,304557330,2991,-156,-5,30146,56,104,20260804
8,8,0,OLD,20242402,눈동자,2026-06-24,13952100,0.3,-1351750,-8.8,15890922450,1369,-120,-8.1,1540233,168,189,20260804
9,9,1,OLD,20250654,오디세이,2026-08-05,12681000,0.3,6579000,107.8,29391000,1065,387,57.1,2367,3,3,20260804
10,10,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10966800,0.2,10966800,100,318006120,916,916,100,27410,3,6,20260804
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4174462150,80.5,-4605884450,-52.5,40037437700,401780,-424555,-51.4,3790105,2178,8774,20260803
2,2,0,OLD,20233219,호프,2026-07-15,618271300,11.9,-582116270,-48.5,44896589550,63927,-53970,-45.8,4174472,901,2658,20260803
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,113041800,2.2,-105371390,-48.2,7266805090,12454,-10576,-45.9,726394,672,1050,20260803
4,4,1,OLD,20259781,토이 스토리 5,2026-06-17,71227390,1.4,-44148190,-38.3,30022826170,7454,-4100,-35.5,2919664,384,487,20260803
5,5,-1,OLD,20259946,모아나,2026-07-08,65168340,1.3,-58931060,-47.5,10691943870,6986,-5777,-45.3,1006933,437,580,20260803
6,6,2,OLD,20264148,어떻게 해야 했을까?,2026-07-29,31604660,0.6,-24973140,-44.1,275050480,3147,-2287,-42.1,27155,59,103,20260803
7,7,0,OLD,20262902,다윗,2026-07-10,29609230,0.6,-65013720,-68.7,2593378990,3085,-6832,-68.9,266434,171,199,20260803
8,8,1,OLD,20242402,눈동자,2026-06-24,15303850,0.3,-9747450,-38.9,15876970350,1489,-852,-36.4,1538864,164,185,20260803
9,9,1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,7537100,0.1,-5249400,-41.1,382904050,845,-566,-40.1,42841,112,112,20260803
10,10,0,NEW,20250654,오디세이,2026-08-05,6102000,0.1,6102000,100,16710000,678,678,100,1302,2,2,20260803
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,8780346600,80.9,-916966210,-9.5,35862975550,826335,-75245,-8.3,3388325,2382,9784,20260802
2,2,0,OLD,20233219,호프,2026-07-15,1200387570,11.1,-202913330,-14.5,44278318250,117897,-18520,-13.6,4110545,965,2620,20260802
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,218413190,2.0,6972680,3.3,7153763290,23030,857,3.9,713940,716,1089,20260802
4,4,0,OLD,20259946,모아나,2026-07-08,124099400,1.1,-34450,0,10626775530,12763,34,0.3,999947,452,580,20260802
5,5,1,OLD,20259781,토이 스토리 5,2026-06-17,115375580,1.1,15245840,15.2,29951598780,11554,1614,16.2,2912210,375,472,20260802
6,6,-1,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,125351720,1.2,-2633880,-2.1,307039320,10305,-376,-3.5,26494,75,85,20260802
7,7,0,OLD,20262902,다윗,2026-07-10,94622950,0.9,9450060,11.1,2563769760,9917,1122,12.8,263349,243,276,20260802
8,8,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,56577800,0.5,-7614300,-11.9,243445820,5434,-790,-12.7,24008,63,107,20260802
9,9,0,OLD,20242402,눈동자,2026-06-24,25051300,0.2,-3463900,-12.1,15861666500,2341,-305,-11.5,1537375,151,176,20260802
